time,growth_rate,length
1207481392,11.3914,448.8741
1207484992,11.3914,449.3488
1207488592,11.3914,449.8234
1207492192,11.3914,450.298
1207495792,11.3914,450.7727
1207499392,11.3914,451.2473
1207502992,11.3914,451.722
1207506592,11.3914,452.1966
1207510192,11.3914,452.6712
1207513792,11.3914,453.1459
1207517392,11.3914,453.6205
1207520992,11.3914,454.0952
1207524592,11.3914,454.5698
1207528192,11.3914,455.0444
1207531792,11.3914,455.5191
1207535392,11.3914,455.9937
1207538992,11.3914,456.4684
1207542592,11.3914,456.943
1207546192,11.3914,457.4176
1207549792,11.3914,457.8923
1207553392,11.3914,458.3669
1207556992,11.3914,458.8416
1207560592,11.3914,459.3162
1207564192,11.3914,459.7908
1207567792,11.3914,460.2655
1207571392,11.3914,460.7401
1207574992,11.3914,461.2148
1207578592,11.3914,461.6894
1207582192,11.3914,462.164
1207585792,11.3914,462.6387
1207589392,11.3914,463.1133
1207592992,11.3914,463.588
1207596592,11.3914,464.0626
1207600192,11.3914,464.5372
1207603792,11.3914,465.0119
1207607392,11.3914,465.4865
1207610992,11.3914,465.9612
1207614592,11.3914,466.4358
1207618192,11.3914,466.9104
1207621792,11.3914,467.3851
1207625392,11.3914,467.8597
1207628992,11.3914,468.3344
1207632592,11.3914,468.809
1207636192,11.3914,469.2836
1207639792,11.3914,469.7583
1207643392,11.3914,470.2329
1207646992,11.3914,470.7076
1207650592,11.3914,471.1822
1207654192,11.3914,471.6568
1207657792,11.3914,472.1315
1207661392,11.3914,472.6061
1207664992,11.3914,473.0807
1207668592,11.3914,473.5554
1207672192,11.3914,474.03
1207675792,11.3914,474.5047
1207679392,11.3914,474.9793
1207682992,11.3914,475.4539
1207686592,11.3914,475.9286
1207690192,11.3914,476.4032
1207693792,11.3914,476.8779
1207697392,11.3914,477.3525
1207700992,11.3914,477.8271
1207704592,11.3914,478.3018
1207708192,11.3914,478.7764
1207711792,11.3914,479.2511
1207715392,11.3914,479.7257
1207718992,11.3914,480.2003
1207722592,11.3914,480.675
1207726192,11.3914,481.1496
1207729792,11.3914,481.6243
1207733392,11.3914,482.0989
1207736992,11.3914,482.5735
1207740592,11.3914,483.0482
1207744192,11.3914,483.5228
1207747792,11.3914,483.9975
1207751392,11.3914,484.4721
1207754992,11.3914,484.9467
1207758592,11.3914,485.4214
1207762192,11.3914,485.896
1207765792,11.3914,486.3707
1207769392,11.3914,486.8453
1207772992,11.3914,487.3199
1207776592,11.3914,487.7946
1207780192,11.3914,488.2692
1207783792,11.3914,488.7439
1207787392,11.3914,489.2185
1207790992,11.3914,489.6931
1207794592,11.3914,490.1678
1207798192,11.3914,490.6424
1207801792,11.3914,491.1171
1207805392,11.3914,491.5917
1207808992,11.3914,492.0663
1207812592,11.3914,492.541
1207816192,11.3914,493.0156
1207819792,11.3914,493.4903
1207823392,11.3914,493.9649
1207826992,11.3914,494.4395
1207830592,11.3914,494.9142
1207834192,11.3914,495.3888
1207837792,11.3914,495.8635
1207841392,11.3914,496.3381
1207844992,11.3914,496.8127
1207848592,11.3914,497.2874
1207852192,11.3914,497.762
1207855792,11.3914,498.2367
1207859392,11.3914,498.7113
1207862992,11.3914,499.1859
1207866592,11.3914,499.6606
1207870192,11.3914,500.1352
1207873792,11.3914,500.6099
1207877392,11.3914,501.0845
1207880992,11.3914,501.5591
1207884592,11.3914,502.0338
1207888192,11.3914,502.5084
1207891792,11.3914,502.9831
1207895392,11.3914,503.4577
1207898992,11.3914,503.9323
1207902592,11.3914,504.407
1207906192,11.3914,504.8816
1207909792,11.3914,505.3563
1207913392,11.3914,505.8309
1207916992,11.3914,506.3055
1207920592,11.3914,506.7802
1207924192,11.3914,507.2548
1207927792,11.3914,507.7295
1207931392,11.3914,508.2041
1207934992,11.3914,508.6787
1207938592,11.3914,509.1534
1207942192,11.3914,509.628
1207945792,11.3914,510.1027
1207949392,11.3914,510.5773
1207952992,11.3914,511.0519
1207956592,11.3914,511.5266
1207960192,11.3914,512.0012
1207963792,11.3914,512.4759
1207967392,11.3914,512.9506
1207970992,11.3914,513.4252
1207974592,11.3914,513.8999
1207978192,11.3914,514.3746
1207981792,11.3914,514.8492
1207985392,11.3914,515.3239
1207988992,11.3914,515.7986
1207992592,11.3914,516.2733
1207996192,11.3914,516.7479
1207999792,11.3914,517.2226
1208003392,11.3914,517.6973
1208006992,11.3914,518.1719
1208010592,11.3914,518.6466
1208014192,11.3914,519.1213
1208017792,11.3914,519.5959
1208021392,11.3914,520.0706
1208024992,11.3914,520.5453
1208028592,11.3914,521.02
1208032192,11.3914,521.4946
1208035792,11.3914,521.9693
1208039392,11.3914,522.444
1208042992,11.3914,522.9186
1208046592,11.3914,523.3933
1208050192,11.3914,523.868
1208053792,11.3914,524.3427
1208057392,11.3914,524.8173
1208060992,11.3914,525.292
1208064592,11.3914,525.7667
1208068192,11.3914,526.2413
1208071792,11.3914,526.716
1208075392,11.3914,527.1907
1208078992,11.3914,527.6653
1208082592,11.3914,528.14
1208086192,11.3914,528.6147
1208089792,11.3914,529.0894
1208093392,11.3914,529.564
1208096992,11.3914,530.0387
1208100592,11.3914,530.5134
1208104192,11.3914,530.988
1208107792,11.3914,531.4627
1208111392,11.3914,531.9374
1208114992,11.3914,532.412
1208118592,11.3914,532.8867
1208122192,11.3914,533.3614
1208125792,11.3914,533.8361
1208129392,11.3914,534.3107
1208132992,11.3914,534.7854
1208136592,11.3914,535.2601
1208140192,11.3914,535.7347
1208143792,11.3914,536.2094
1208147392,11.3914,536.6841
1208150992,11.3914,537.1588
1208154592,11.3914,537.6334
1208158192,11.3914,538.1081
1208161792,11.3914,538.5828
1208165392,11.3914,539.0574
1208168992,11.3914,539.5321
1208172592,11.3914,540.0068
1208176192,11.3914,540.4814
1208179792,11.3914,540.9561
1208183392,11.3914,541.4308
1208186992,11.3914,541.9055
1208190592,11.3914,542.3801
1208194192,11.3914,542.8548
1208197792,11.3914,543.3295
1208201392,11.3914,543.8041
1208204992,11.3914,544.2788
1208208592,11.3914,544.7535
1208212192,11.3914,545.2281
1208215792,11.3914,545.7028
1208219392,11.3914,546.1775
1208222992,11.3914,546.6522
1208226592,11.3914,547.1268
1208230192,11.3914,547.6015
1208233792,11.3914,548.0762
1208237392,11.3914,548.5508
1208240992,11.3914,549.0255
1208244592,11.3914,549.5002
1208248192,11.3914,549.9749
1208251792,11.3914,550.4495
1208255392,11.3914,550.9242
1208258992,11.3914,551.3989
1208262592,11.3914,551.8735
1208266192,11.3914,552.3482
1208269792,11.3914,552.8229
1208273392,11.3914,553.2975
1208276992,11.3914,553.7722
1208280592,11.3914,554.2469
1208284192,11.3914,554.7216
1208287792,11.3914,555.1962
1208291392,11.3914,555.6709
1208294992,11.3914,556.1456
1208298592,11.3914,556.6202
1208302192,11.3914,557.0949
1208305792,11.3914,557.5696
1208309392,11.3914,558.0443
1208312992,11.3914,558.5189
1208316592,11.3914,558.9936
1208320192,11.3914,559.4683
1208323792,11.3914,559.9429
1208327392,11.3914,560.4176
